STORE_NBR,ADDRESS,CITY,STATE,ZIP_CODE,PHONE,LATITUDE,LONGITUDE
1234,123 Main St,Chicago,IL,60601,312-555-1234,41.8826,87.6226
2345,456 5th Ave,New York,NY,10018,212-555-2345,40.7508,73.9845
3456,789 Beverly Dr,Los Angeles,CA,90210,310-555-3456,34.0736,118.4004
4567,101 Ocean Dr,Miami,FL,33139,305-555-4567,25.7825,80.1340
5678,202 Pine St,Seattle,WA,98101,206-555-5678,47.6097,122.3331
6789,303 16th St,Denver,CO,80202,303-555-6789,39.7437,104.9892
7890,404 McKinney Ave,Dallas,TX,75204,214-555-7890,32.7936,96.8018
8901,505 E Washington St,Phoenix,AZ,85004,602-555-8901,33.4492,112.0724
9012,606 Peachtree St NE,Atlanta,GA,30308,404-555-9012,33.7705,84.3826
0123,707 Boylston St,Boston,MA,02116,617-555-0123,42.3508,71.0723
1357,808 Market St,San Francisco,CA,94103,415-555-1357,37.7873,122.4070
2468,909 Michigan Ave,Chicago,IL,60611,312-555-2468,41.8936,87.6242
3579,1010 Locust St,St Louis,MO,63101,314-555-3579,38.6278,90.1978
1111,1111 Canal St,New Orleans,LA,70112,504-555-1111,29.9559,90.0720
2222,2222 Lake Shore Dr,Cleveland,OH,44113,216-555-2222,41.4996,81.6990
3333,3333 Las Vegas Blvd,Las Vegas,NV,89109,702-555-3333,36.1147,115.1728
4444,4444 E Lake St,Minneapolis,MN,55407,612-555-4444,44.9485,93.2413
5555,5555 Broad St,Richmond,VA,23220,804-555-5555,37.5540,77.4668
6666,6666 E Washington St,Indianapolis,IN,46201,317-555-6666,39.7683,86.1346
7777,7777 Broadway,Nashville,TN,37203,615-555-7777,36.1514,86.7959
